#{"t_start": 1638132192.131424, "env_id": "octorotor-v0"}
r,l,t
2456.813234,3574,46.411363
9828.527429,14457,226.078672
2597.077169,3841,271.733831
1791.795287,2660,304.312354
3756.220799,5896,374.445652
2276.822002,3435,415.413954
1060.428385,1702,436.636813
9779.250601,15211,626.532253
1877.329196,2776,658.083376
3127.621507,4659,710.011689
1216.086512,2146,733.710932
8650.438749,12694,874.921122
1326.845166,2107,898.192027
7144.39647,10839,1018.428968
6365.847303,9479,1128.549487
3611.727503,5435,1192.330031
1066.607278,1684,1212.227506
1514.992782,2356,1240.817754
9559.462961,14588,1405.269127
8715.051798,13492,1552.614128
4290.467198,6444,1633.141893
6633.138556,9766,1757.864965
3164.582745,4869,1820.783446
6699.882493,10222,1953.165217
9470.805714,15485,2152.376124
4890.626809,7184,2241.483221
9513.984202,14343,2415.328982
3947.573464,5914,2485.572383
10468.844526,15053,2671.693889
10694.929378,16114,2877.030138
5927.434644,8645,2989.184146
3009.004929,4677,3049.614826
3240.226916,5412,3115.089478
3962.314681,5879,3180.203486
15709.504483,24710,3478.340684
13257.453404,19497,3721.294172
9992.400719,14408,3904.237571
1771.226332,2628,3937.197384
8106.37656,11901,4082.569808
8538.429301,12419,4232.592537
1373.428429,2227,4259.20884
12802.447534,18883,4490.417212
6732.901142,9791,4617.841123
14114.90271,21239,4898.514714
2634.169233,4022,4948.990785
13392.311733,20325,5216.186358
3672.630288,5472,5288.936268
10091.969819,15534,5465.325818
12140.461561,19550,5683.519165
3389.676761,5089,5742.173196
1394.21723,2220,5769.969098
11037.217733,16739,5968.292418
12643.087673,18333,6170.052725
16597.602844,24358,6436.891218
7892.872545,11254,6560.047189
15389.167835,22903,6811.811834
16703.678304,24609,7079.719992
9739.721942,14634,7240.431477
14618.683479,21023,7486.673202
5211.273881,7937,7581.816146
10446.627805,15459,7766.779449
13637.581132,19963,7996.580978
15154.080706,22140,8263.78961
14790.943513,21709,8520.844904
10437.085915,15464,8703.00338
12715.375249,18400,8921.013396
15756.316197,23465,9195.310927
3190.245212,4896,9257.231382
3562.457731,5168,9317.925293
13723.518815,20418,9573.154376
4465.091291,6457,9654.492965
14998.353772,21825,9932.474212
6785.644292,9894,10050.986014
13003.951738,19057,10259.894128
5731.679714,8233,10356.841492
14723.342979,21500,10629.412975
12143.111191,17451,10852.125556
4556.175636,6510,10931.981266
18025.276677,25797,11265.44642
18224.020282,26145,11570.854003
15117.468777,22279,11819.498137
6587.306493,9645,11928.346072
4770.191731,6840,12005.071961
4534.736745,6497,12082.200332
4489.801775,6608,12155.309597
14716.124001,21293,12420.270528
9524.311154,14208,12586.990688
2789.652596,4099,12633.523396
14439.492426,21181,12866.510171
3146.403393,4691,12917.389131
13476.949223,19712,13131.534708
8763.353239,13457,13286.565924
4305.365033,6313,13355.364636
15669.190367,22736,13626.812691
13638.691116,20195,13899.600539
6071.22961,8903,14014.345003
11596.521816,17327,14250.412689
10306.542111,15429,14461.556617
12475.495738,18702,14731.403117
11404.649408,17109,14973.598389
9024.40968,13745,15176.249151
4146.86467,6248,15272.335829
12618.746997,19134,15522.599973
5228.245936,7644,15634.980009
11190.52971,17010,15884.36889
11777.499522,18169,16150.073009
15928.700239,24113,16557.528158
3355.612267,5008,16618.50963
4698.171504,7046,16702.01311
13578.017818,20846,16976.002871
12987.223391,20462,17264.257392
7149.030718,11393,17424.708153
4317.438345,6709,17514.955709
11419.433259,17488,17745.785265
8575.3222,13268,17907.965604
6939.17895,10824,18035.311525
12062.454016,18662,18265.515752
11555.582424,18178,18495.923415
3297.187982,5071,18560.178268
14580.649868,22274,18837.386147
2038.434102,3235,18873.938184
11887.067583,18111,19102.027597
3490.039146,5495,19173.560268
13866.893988,21159,19484.10039
13983.235076,21267,19771.478184
3575.718873,5795,19846.118096
14948.656522,22859,20139.382938
15200.098001,22946,20430.430456
14110.44662,21518,20703.689047
13722.481623,20946,20984.24635
8415.500071,13409,21198.463492
13358.606508,21603,21528.16261
12800.649407,19717,21832.807432
13351.855642,20512,22162.423998
10892.729468,16558,22403.038387
13024.724476,19943,22677.99211
12840.490165,19758,22919.852633
10083.503665,15774,23098.942701
12566.110954,18835,23309.907801
14008.615134,21859,23557.18784
9528.660861,15737,23731.757305
7053.752365,11102,23862.817215
12760.11185,20425,24096.942251
